classification,fieldid,tileid,seqn,obsid,dateobs,rmag,rerr,bmag,berr
2,1,3441,1214,278,48823.6441,-5.298,0.288,-5.292,0.293
2,1,3441,1214,280,48823.6537,-4.674,0.457,-5.606,0.199
2,1,3441,1214,282,48823.6634,-5.248,0.305,-5.52,0.249
2,1,3441,1214,310,48824.6249,-4.635,0.172,-4.908,0.132
2,1,3441,1214,312,48824.6344,-4.74,0.134,-5.044,0.096
2,1,3441,1214,314,48824.6443,-4.796,0.125,-4.954,0.102
2,1,3441,1214,341,48825.6498,-4.225,0.183,-4.66,0.108
2,1,3441,1214,343,48825.6595,-4.646,0.134,-4.665,0.111
2,1,3441,1214,345,48825.6695,-4.66,0.125,-4.815,0.092
2,1,3441,1214,369,48826.6313,-5.105,0.146,-5.509,0.093
2,1,3441,1214,373,48826.658,-5.101,0.124,-5.381,0.091
2,1,3441,1214,406,48828.7526,-5.1,0.094,-5.48,0.055
2,1,3441,1214,420,48828.8234,-4.804,0.133,-4.898,0.09
2,1,3441,1214,423,48829.623,-5.174,0.061,-5.196,0.053
2,1,3441,1214,443,48829.7514,-4.623,0.376,-5.005,0.214
2,1,3441,1214,450,48829.8266,-4.873,0.158,-4.875,0.108
2,1,3441,1214,452,48831.6285,-1.416,-99.0,-3.152,-3026.0
2,1,3441,1214,472,48831.7314,-5.075,0.132,-5.385,0.089
2,1,3441,1214,485,48831.8056,-4.792,0.069,-5.013,0.043
2,1,3441,1214,487,48831.8282,-4.627,0.176,-4.98,0.102
2,1,3441,1214,488,48832.6264,-4.808,0.153,-5.022,0.111
2,1,3441,1214,511,48832.8179,-4.519,0.184,-4.263,0.19
2,1,3441,1214,515,48833.736,-4.495,0.319,-4.815,0.219
2,1,3441,1214,550,48834.5976,-4.585,0.137,-4.836,0.094
2,1,3441,1214,564,48834.6822,-5.083,0.057,-5.476,0.038
2,1,3441,1214,582,48834.8059,-4.77,0.061,-4.873,0.048
2,1,3441,1214,655,48835.7377,-4.164,0.349,-4.837,0.164
2,1,3441,1214,662,48835.773,-4.337,0.249,-4.725,0.134
2,1,3441,1214,729,48836.6887,-5.022,0.668,-4.162,1.358
2,1,3441,1214,737,48836.7309,-1.826,6.857,-4.38,0.617
2,1,3441,1214,742,48841.6082,-4.289,0.361,-4.827,0.215
2,1,3441,1214,758,48841.7078,-4.566,0.093,-99.0,-99.0
2,1,3441,1214,776,48841.8003,-4.466,0.106,-4.542,0.073
2,1,3441,1214,780,48842.625,-4.797,0.321,-3.702,0.897
2,1,3441,1214,797,48842.7317,-4.971,0.087,-5.343,0.053
2,1,3441,1214,805,48842.7992,-4.839,0.081,-5.044,0.062
2,1,3441,1214,812,48843.5835,-5.356,0.172,-4.507,0.426
2,1,3441,1214,838,48843.7291,-4.775,0.138,-4.778,0.132
2,1,3441,1214,851,48843.8068,-4.709,0.109,-4.725,0.097
